round,trial,peak_fitness,elapsed_s,alg_probMoo,prob_addConn,prob_addNode,prob_enable,prob_mutAct,prob_toggleExcitatory,prob_initEnable,select_cullRatio,select_eliteRatio,select_tournSize,snn_window_ms,snn_tau_exc,snn_tau_inh,snn_ttfs_threshold
1,5,1440.0,2336.2,0.28147062357837216,0.24716958961184454,0.2993269114422814,0.013510218630546572,0.1458314391012659,0.14078412410875507,0.7945447342982852,0.22696406286875925,0.19160690900320426,10,56,7.8463070240894295,12.623808958336353,0.02761833171856535
2,4,234.0,25.5,0.31053316375032897,0.3275890264124067,0.0585246125825848,0.011774293027378743,0.25689706579839877,0.1033544745139218,0.5089414487425621,0.44572062927908407,0.2861707287221405,14,34,13.840697056014754,25.912729009579134,7.388236280793592e-06
2,5,326.0,117.2,0.4910305945109295,0.11004708429828636,0.2793989984673187,0.18065979884118927,0.19154726534897587,0.2765607602852132,0.5696201481455289,0.23252152597243553,0.12007129532724102,10,45,14.175421856483204,11.030801837728351,2.271675473262548e-05
2,6,275.0,165.2,0.3074773793886696,0.4831275097671157,0.3893567054768351,0.15386847748858315,0.5841982035628257,0.19482785703428082,0.2720421784267935,0.3726995125772769,0.18822956518731015,4,38,14.420628055358756,10.01324495377331,6.111937617418288e-05
2,3,600.0,178.8,0.3794089463667355,0.1055852217575694,0.25778197516552953,0.08004992628206331,0.5533173540301021,0.21514145389899159,0.5211110846191762,0.3017961558505558,0.19711874977388366,2,30,11.974741993920794,16.236727490367624,0.09774738891152367
2,8,337.0,160.7,0.17881168890610163,0.3748516968686333,0.2775543873754114,0.11125191573963047,0.44021493455942096,0.2949774935571723,0.26580939056463365,0.4816269342684039,0.3927180525952409,7,45,7.836587512792837,26.786229586002374,0.00012726523493543116
2,15,341.0,123.2,0.25757494406189646,0.19234094651333833,0.2955634066496538,0.010730489030700936,0.4291258657749538,0.26883352887282874,0.4311168984497491,0.24079016339519954,0.2174667413395692,2,37,7.759082282089708,20.341732434782507,0.2374023671411122
2,21,324.0,222.2,0.2740627430897147,0.1185698399889867,0.3103296404779486,0.005830798267425909,0.44849286796790017,0.2962500812582633,0.3330017071875293,0.2220539152280995,0.10670303662301929,3,33,8.28951899007352,18.771864591210026,0.045527734944231874
2,11,839.0,375.4,0.18842753236568693,0.2568750239463055,0.23856966531008017,0.021475190240826867,0.46017568538379827,0.2527028899353048,0.7320799460497085,0.4267084141658425,0.06999655597045147,15,38,7.114542814856881,28.40817697443207,0.009813675353105362
2,7,405.0,591.8,0.5292266798674541,0.26594407207303716,0.21919110596641805,0.10114395223618645,0.2634535195876393,0.09526677059961855,0.7305781729952658,0.408486015357962,0.17153579114957765,13,78,14.404497288174818,11.139124370670615,1.884838018910872e-06
2,13,666.0,431.0,0.1973149002052553,0.11996233530670596,0.348962377619246,0.019493075026014335,0.3696034517070078,0.11340757437796073,0.3861238770057413,0.20041299719289013,0.34996610654589555,13,37,10.88860413544624,12.908837619612312,0.0024761141255107994
2,20,603.0,339.4,0.3518455268236226,0.12171508612829185,0.34745013310736794,0.09604996709959557,0.4609730441160645,0.20944062263466706,0.6364225968823938,0.32731066279587195,0.25437733619788877,3,39,14.022150457773098,11.282074297105893,0.06695875422504174
2,26,312.0,76.6,0.17088899124206908,0.14187865524284532,0.18825708470336988,0.03588726534019631,0.2429475830885691,0.18453561265267907,0.5943960058065123,0.4224486080564629,0.09716949220704366,13,24,5.450709380980082,28.199544930997003,0.17106702914636993
2,28,1320.0,535.8,0.20920136639025969,0.39152845409204795,0.3290664269095909,0.014280253767915039,0.4719568194926766,0.2463039927159394,0.7129944401885876,0.40000886283364023,0.07334877176672022,12,51,7.571471613565983,25.472923923983423,0.09411279933660177
3,0,295.0,84.1,0.5261972128269016,0.18807406451589875,0.10493697787353556,0.17840313519094883,0.35123758057947196,0.1123582969409941,0.38784132758333667,0.2383039264642769,0.36467370387557696,9,58,9.402163916670276,6.917816005979704,0.0007091046635025904
3,2,354.0,97.6,0.28472253760601546,0.36396716889410513,0.0588092919071696,0.011419015273561555,0.4480363563636046,0.18350817376476675,0.2617123599007062,0.1420434903722725,0.20152391417217314,8,74,11.058194008418177,12.381921149370852,1.7679120944164458e-05
3,5,125.0,346.9,0.5221811896502766,0.12098285368571196,0.30323450637901417,0.15725119356445863,0.6203694896435646,0.11569738571731517,0.5930898004046523,0.34215692838930223,0.23684801980755926,13,53,10.420510972359793,4.94726013295994,0.003977932375387407
3,3,816.0,609.6,0.24612085217738466,0.18723783638395808,0.2584397586721744,0.044028564454147205,0.6326463136099238,0.23685171917581593,0.287611406470465,0.32167207655851054,0.11914700373447774,3,55,5.4783171822703896,17.615230958292457,0.0002446999000614803
3,9,242.0,543.6,0.5193321774537605,0.2518390988414406,0.33797436082817583,0.008668393076158845,0.6339792701870133,0.2732017885936288,0.41100992963640937,0.22902271510120403,0.25132535582976084,13,47,7.040849269364141,17.30862315386544,7.60402189163811e-06
3,4,459.0,1289.8,0.517351503732087,0.38369600647435637,0.37494057973576,0.19981249420023176,0.46276906044170396,0.1681008652686887,0.3839157272917201,0.3857458559618784,0.25737068434709204,9,80,9.253222988226144,20.51242779628336,0.00010200360798095653
3,11,289.0,881.4,0.3032044333053396,0.4008529589513934,0.33041450021243157,0.11794880835749737,0.42029609832996584,0.21871669123985754,0.4376395894121119,0.19161673418930852,0.38843230706682014,16,64,9.552627720720865,19.96467645121318,0.14351746019719336
3,7,574.0,1611.3,0.40600390344286214,0.14987910341366634,0.1420758684410455,0.009089652831457759,0.4875591278776126,0.1259904499136179,0.2697475954975682,0.26787797850675377,0.11391903204591934,4,57,4.907673479130355,16.085914032229624,7.635187767873451e-06
3,20,1220.0,453.4,0.1547507169667737,0.07380684493733612,0.23084625896413707,0.05286983741426444,0.34321244629212194,0.27392736408702373,0.4430646246223955,0.48574244090928914,0.11079593469474282,2,60,6.826066906913151,17.488121433254864,4.143300452084903e-05
