step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
128,0.992518,-0.122095,0.924540,0.381085,-0.223466,0.368081,1.000000,-0.899448
129,0.987804,-0.155701,0.902891,0.429870,-0.108001,0.152934,1.000000,-0.995803
130,0.986658,-0.162807,0.900892,0.434044,0.037401,-0.108056,1.000000,-1.099385
131,0.989915,-0.141664,0.919964,0.392002,0.171050,-0.343356,1.000000,-1.150472
132,0.995147,-0.098401,0.949883,0.312605,0.253686,-0.485245,1.000000,-1.129485
133,0.998945,-0.045923,0.976269,0.216561,0.258918,-0.486380,1.000000,-1.070457
134,1.000000,-0.000513,0.991107,0.133067,0.183553,-0.340325,1.000000,-1.021815
135,0.999723,0.023526,0.996009,0.089255,0.050757,-0.089481,1.000000,-0.994761
136,0.999825,0.018681,0.995039,0.099483,-0.097695,0.189303,1.000000,-0.961811
137,0.999909,-0.013470,0.987032,0.160525,-0.215173,0.410420,1.000000,-0.905401
138,0.998030,-0.062736,0.967586,0.252541,-0.264904,0.506473,1.000000,-0.853868
139,0.993530,-0.113569,0.938163,0.346193,-0.232422,0.451718,1.000000,-0.857592
140,0.988630,-0.150366,0.910110,0.414366,-0.129690,0.268996,1.000000,-0.933660
141,0.986737,-0.162328,0.897719,0.440569,0.011439,0.015149,1.000000,-1.044016
142,0.989288,-0.145974,0.907623,0.419786,0.150100,-0.239315,1.000000,-1.125059
143,0.994400,-0.105680,0.934065,0.357103,0.246164,-0.424438,1.000000,-1.137498
144,0.998598,-0.052938,0.963258,0.268578,0.269660,-0.484647,1.000000,-1.095228
145,0.999993,-0.003642,0.983602,0.180351,0.210837,-0.398049,1.000000,-1.044813
146,0.999640,0.026832,0.992684,0.120739,0.085995,-0.190108,1.000000,-1.013576
147,0.999585,0.028800,0.994049,0.108933,-0.066878,0.073258,1.000000,-0.987080
148,0.999999,0.001346,0.988994,0.147958,-0.200695,0.308823,1.000000,-0.942124
149,0.998878,-0.047358,0.974619,0.223872,-0.274120,0.442899,1.000000,-0.890512
150,0.994734,-0.102490,0.950473,0.310808,-0.265001,0.436115,1.000000,-0.876010
151,0.989066,-0.147474,0.924477,0.381238,-0.177464,0.296332,1.000000,-0.926668
152,0.985561,-0.169318,0.909514,0.415674,-0.038640,0.070569,1.000000,-1.020551
153,0.986797,-0.161965,0.913902,0.405934,0.111293,-0.174437,1.000000,-1.100857
154,0.991853,-0.127390,0.935078,0.354441,0.229641,-0.368469,1.000000,-1.122105
155,0.997162,-0.075280,0.961574,0.274548,0.281251,-0.451767,1.000000,-1.086348
156,0.999781,-0.020950,0.981762,0.190112,0.249129,-0.393529,1.000000,-1.034857
157,0.999817,0.019155,0.991634,0.129082,0.141993,-0.208072,1.000000,-1.000532
158,0.999458,0.032919,0.993637,0.112628,-0.007416,0.046981,1.000000,-0.976083
159,0.999866,0.016400,0.989136,0.147005,-0.153175,0.290788,1.000000,-0.936749
160,0.999685,-0.025078,0.975203,0.221311,-0.250721,0.445639,1.000000,-0.886412
161,0.996910,-0.078551,0.950358,0.311158,-0.271165,0.462934,1.000000,-0.866172
162,0.991817,-0.127664,0.921546,0.388270,-0.210626,0.340110,1.000000,-0.911737
163,0.987428,-0.158068,0.902354,0.430997,-0.089501,0.117066,1.000000,-1.011151
164,0.986888,-0.161404,0.903441,0.428713,0.056166,-0.142165,1.000000,-1.108987
165,0.990575,-0.136971,0.924509,0.381161,0.184641,-0.366283,1.000000,-1.149383
166,0.995772,-0.091863,0.954338,0.298729,0.257898,-0.489646,1.000000,-1.120617
167,0.999215,-0.039612,0.979069,0.203526,0.252252,-0.469711,1.000000,-1.061318
168,0.999994,0.003528,0.992163,0.124948,0.168085,-0.306794,1.000000,-1.016483
169,0.999712,0.023998,0.996061,0.088669,0.031511,-0.048905,1.000000,-0.990506
170,0.999881,0.015449,0.994295,0.106667,-0.114504,0.224900,1.000000,-0.954458
171,0.999813,-0.019347,0.984874,0.173272,-0.224110,0.430509,1.000000,-0.896484
172,0.997594,-0.069332,0.963724,0.266902,-0.263128,0.505477,1.000000,-0.850480
173,0.992924,-0.118752,0.933721,0.358002,-0.220686,0.430944,1.000000,-0.864822
174,0.988301,-0.152516,0.907173,0.420758,-0.111801,0.235372,1.000000,-0.948848
175,0.986991,-0.160773,0.897801,0.440401,0.030153,-0.021830,1.000000,-1.058658
176,0.989998,-0.141084,0.910579,0.413334,0.164215,-0.269908,1.000000,-1.131488
177,0.995108,-0.098793,0.938231,0.346009,0.251331,-0.440259,1.000000,-1.134636
178,0.998938,-0.046082,0.966691,0.255946,0.263842,-0.480907,1.000000,-1.088554
179,0.999999,0.001040,0.985430,0.170083,0.195342,-0.375937,1.000000,-1.039970
180,0.999613,0.027806,0.993246,0.116030,0.065352,-0.156923,1.000000,-1.010638
181,0.999671,0.025653,0.993817,0.111031,-0.086404,0.106772,1.000000,-0.982412
182,0.999987,-0.005079,0.987788,0.155803,-0.213095,0.332068,1.000000,-0.934977
183,0.998476,-0.055190,0.972115,0.234506,-0.275541,0.448855,1.000000,-0.885661
184,0.993996,-0.109415,0.947237,0.320533,-0.255049,0.423799,1.000000,-0.878841
185,0.988458,-0.151497,0.922044,0.387085,-0.159190,0.270649,1.000000,-0.936850
186,0.985559,-0.169330,0.909288,0.416167,-0.017313,0.039831,1.000000,-1.031646
187,0.987446,-0.157959,0.916057,0.401049,0.129726,-0.201044,1.000000,-1.105675
188,0.992720,-0.120441,0.938416,0.345507,0.239937,-0.382690,1.000000,-1.118658
189,0.997730,-0.067342,0.964447,0.264277,0.280263,-0.448397,1.000000,-1.079098
190,0.999897,-0.014337,0.983288,0.182057,0.237010,-0.372819,1.000000,-1.029504
191,0.999747,0.022513,0.991993,0.126295,0.122396,-0.176353,1.000000,-0.997950
192,0.999485,0.032101,0.993203,0.116393,-0.028534,0.079469,1.000000,-0.972887
193,0.999931,0.011746,0.987702,0.156348,-0.169461,0.313361,1.000000,-0.931496
194,0.999485,-0.032081,0.972409,0.233281,-0.257407,0.450664,1.000000,-0.883240
195,0.996317,-0.085741,0.946770,0.321911,-0.266615,0.448608,1.000000,-0.870807
196,0.991125,-0.132930,0.918860,0.394584,-0.196688,0.310838,1.000000,-0.924650
197,0.987120,-0.159980,0.902269,0.431173,-0.070534,0.081207,1.000000,-1.025905
198,0.987194,-0.159526,0.906346,0.422537,0.074672,-0.174927,1.000000,-1.117029
199,0.991261,-0.131918,0.929120,0.369779,0.197302,-0.386712,1.000000,-1.146810
200,0.996364,-0.085193,0.958576,0.284835,0.260774,-0.490922,1.000000,-1.111302
201,0.999441,-0.033443,0.981570,0.191105,0.244290,-0.450195,1.000000,-1.052670
202,0.999974,0.007210,0.993021,0.117935,0.151819,-0.271617,1.000000,-1.011568
203,0.999711,0.024025,0.995999,0.089363,0.012226,-0.008398,1.000000,-0.985963
204,0.999930,0.011842,0.993373,0.114934,-0.130585,0.258726,1.000000,-0.946646
205,0.999678,-0.025395,0.982438,0.186590,-0.231801,0.447639,1.000000,-0.887980
