step,cos_th1,sin_th1,cos_th2,sin_th2,dth1,dth2,action,reward
153,0.979241,0.202699,0.914681,-0.404177,-0.114642,0.179330,-1.000000,-1.113374
154,0.986647,0.162874,0.937302,-0.348518,-0.280730,0.406271,-1.000000,-1.135197
155,0.995276,0.097083,0.965849,-0.259107,-0.366877,0.507256,-1.000000,-1.081408
156,0.999709,0.024108,0.986485,-0.163849,-0.346601,0.439851,-1.000000,-1.009305
157,0.999404,-0.034512,0.995314,-0.096692,-0.225805,0.216943,-1.000000,-0.966969
158,0.998086,-0.061838,0.996486,-0.083760,-0.042079,-0.093183,-1.000000,-0.942900
159,0.998707,-0.050837,0.991113,-0.133025,0.148188,-0.391663,-1.000000,-0.897379
160,0.999982,-0.006048,0.972947,-0.231029,0.287491,-0.580884,-1.000000,-0.832970
161,0.998322,0.057900,0.937990,-0.346663,0.335779,-0.597647,-1.000000,-0.810190
162,0.992639,0.121113,0.896008,-0.444039,0.283725,-0.437430,-1.000000,-0.883277
163,0.986257,0.165218,0.867696,-0.497096,0.151987,-0.149331,-1.000000,-1.035799
164,0.983941,0.178496,0.869642,-0.493683,-0.019698,0.189661,-1.000000,-1.185115
165,0.987445,0.157965,0.901893,-0.431960,-0.182923,0.493689,-1.000000,-1.242870
166,0.993943,0.109897,0.947039,-0.321119,-0.289299,0.677763,-1.000000,-1.186215
167,0.998789,0.049192,0.982358,-0.187012,-0.303184,0.677238,-1.000000,-1.081108
168,0.999991,-0.004347,0.997589,-0.069406,-0.217789,0.480450,-1.000000,-1.014425
169,0.999456,-0.032985,0.999984,-0.005622,-0.061045,0.142840,-1.000000,-1.000112
170,0.999626,-0.027344,0.999885,-0.015186,0.115781,-0.235484,-1.000000,-0.976717
171,0.999941,0.010840,0.995481,-0.094958,0.255575,-0.543405,-1.000000,-0.896283
172,0.997605,0.069171,0.975552,-0.219770,0.312259,-0.690048,-1.000000,-0.796520
173,0.991716,0.128453,0.936766,-0.349958,0.267591,-0.637814,-1.000000,-0.767368
174,0.985506,0.169638,0.893772,-0.448522,0.138229,-0.415848,-1.000000,-0.852624
175,0.983642,0.180136,0.869170,-0.494514,-0.034447,-0.097314,-1.000000,-1.006826
176,0.987685,0.156453,0.875998,-0.482315,-0.200489,0.231421,-1.000000,-1.137961
177,0.994540,0.104355,0.909104,-0.416569,-0.312787,0.486128,-1.000000,-1.180047
178,0.999277,0.038018,0.949655,-0.313298,-0.336037,0.596004,-1.000000,-1.140425
179,0.999737,-0.022937,0.979356,-0.202143,-0.257879,0.526245,-1.000000,-1.081617
180,0.998232,-0.059445,0.992937,-0.118640,-0.097620,0.299922,-1.000000,-1.048339
181,0.998228,-0.059509,0.996030,-0.089023,0.097683,-0.006854,-1.000000,-1.024460
182,0.999758,-0.021991,0.992763,-0.120088,0.268995,-0.293793,-1.000000,-0.972643
183,0.999081,0.042858,0.980248,-0.197771,0.363856,-0.469198,-1.000000,-0.900873
184,0.993238,0.116092,0.956261,-0.292516,0.353205,-0.480748,-1.000000,-0.867444
185,0.984337,0.176297,0.928459,-0.371435,0.241184,-0.334130,-1.000000,-0.915986
186,0.978405,0.206696,0.911691,-0.410877,0.061594,-0.083994,-1.000000,-1.022725
187,0.979933,0.199328,0.916172,-0.400786,-0.134874,0.191349,-1.000000,-1.113823
188,0.987739,0.156117,0.939131,-0.343560,-0.293809,0.409267,-1.000000,-1.128851
189,0.996060,0.088682,0.967047,-0.254599,-0.369400,0.497846,-1.000000,-1.072474
190,0.999867,0.016287,0.986743,-0.162293,-0.338147,0.418976,-1.000000,-1.003168
191,0.999209,-0.039755,0.994990,-0.099970,-0.209183,0.190372,-1.000000,-0.964527
192,0.997991,-0.063353,0.995741,-0.092191,-0.022337,-0.116838,-1.000000,-0.941330
193,0.998819,-0.048577,0.989421,-0.145074,0.165373,-0.403830,-1.000000,-0.896057
194,0.999999,-0.001005,0.969876,-0.243598,0.297551,-0.575910,-1.000000,-0.836293
195,0.997948,0.064037,0.934422,-0.356167,0.336700,-0.575212,-1.000000,-0.822771
196,0.991962,0.126538,0.894086,-0.447895,0.276320,-0.402583,-1.000000,-0.903334
197,0.985694,0.168546,0.869305,-0.494277,0.139045,-0.110050,-1.000000,-1.054640
198,0.983842,0.179041,0.874929,-0.484251,-0.034272,0.224603,-1.000000,-1.192641
199,0.987782,0.155839,0.908951,-0.416902,-0.194688,0.515542,-1.000000,-1.235061
200,0.994361,0.106044,0.952982,-0.303026,-0.294252,0.679150,-1.000000,-1.169562
201,0.998978,0.045194,0.985393,-0.170297,-0.299482,0.655466,-1.000000,-1.067613
202,0.999977,-0.006848,0.998271,-0.058775,-0.207002,0.440227,-1.000000,-1.009512
203,0.999457,-0.032964,0.999992,-0.004002,-0.047425,0.094720,-1.000000,-0.997841
204,0.999694,-0.024747,0.999737,-0.022930,0.127120,-0.279001,-1.000000,-0.968171
205,0.999886,0.015091,0.993943,-0.109897,0.260189,-0.571083,-1.000000,-0.881087
206,0.997299,0.073448,0.971353,-0.237640,0.307929,-0.695262,-1.000000,-0.784510
207,0.991378,0.131032,0.930625,-0.365973,0.255534,-0.621281,-1.000000,-0.768241
208,0.985550,0.169384,0.888227,-0.459405,0.122492,-0.384394,-1.000000,-0.866614
209,0.984241,0.176831,0.866593,-0.499015,-0.048938,-0.059980,-1.000000,-1.025816
210,0.988570,0.150760,0.877022,-0.480450,-0.209432,0.265861,-1.000000,-1.152564
211,0.995220,0.097656,0.912436,-0.409220,-0.313227,0.510007,-1.000000,-1.185998
212,0.999483,0.032157,0.953139,-0.302534,-0.326953,0.604057,-1.000000,-1.140349
213,0.999658,-0.026143,0.981566,-0.191124,-0.240901,0.517795,-1.000000,-1.080444
214,0.998269,-0.058811,0.993883,-0.110441,-0.077050,0.279651,-1.000000,-1.047196
215,0.998493,-0.054887,0.996350,-0.085357,0.116105,-0.030898,-1.000000,-1.020715
216,0.999897,-0.014356,0.992668,-0.120871,0.279891,-0.313204,-1.000000,-0.965421
217,0.998668,0.051603,0.979516,-0.201366,0.363852,-0.477964,-1.000000,-0.894184
218,0.992326,0.123653,0.955026,-0.296522,0.342067,-0.477396,-1.000000,-0.866373
219,0.983534,0.180725,0.927510,-0.373799,0.221874,-0.321861,-1.000000,-0.920786
220,0.978356,0.206927,0.911821,-0.410588,0.039184,-0.068665,-1.000000,-1.028123
221,0.980736,0.195335,0.917429,-0.397900,-0.154637,0.203316,-1.000000,-1.113848
222,0.988855,0.148883,0.940741,-0.339126,-0.305816,0.412232,-1.000000,-1.122302
223,0.996790,0.080054,0.968084,-0.250625,-0.370506,0.488598,-1.000000,-1.063915
224,0.999964,0.008533,0.986919,-0.161214,-0.328277,0.398718,-1.000000,-0.997849
225,0.999002,-0.044673,0.994625,-0.103545,-0.191474,0.165027,-1.000000,-0.963021
226,0.997925,-0.064380,0.994926,-0.100612,-0.002052,-0.138709,-1.000000,-0.940758
227,0.998951,-0.045781,0.987644,-0.156713,0.182497,-0.413922,-1.000000,-0.895943
228,0.999990,0.004509,0.966849,-0.255350,0.307049,-0.569027,-1.000000,-0.840861
229,0.997512,0.070496,0.931169,-0.364589,0.336757,-0.551537,-1.000000,-0.835955
230,0.991237,0.132097,0.892725,-0.450603,0.267947,-0.367467,-1.000000,-0.922704
231,0.985128,0.171824,0.871506,-0.490385,0.125225,-0.071571,-1.000000,-1.071454
232,0.983778,0.179391,0.880567,-0.473922,-0.049419,0.257631,-1.000000,-1.197556
